id;uuid;name;username;password;accesslevel;estado_esperado
1;6d746d42-24bb-4d03-9689-b8e259b829aa;Patrick Yang;michaelperez;LdS1XXlk^7;viewer;401
2;761223d7-1fc0-4616-88ba-ea1a568fac22;Cynthia Navarro;caitlyn75;+1jOSKfK@D;cliente;401
3;2b240460-9141-42b5-b8ef-26e23240fae0;Jared James;zstone;qMuMU0gt%6;gestor_inventario;200
4;c79784af-30d8-4c83-bbbc-34656ccbd8a2;Kelly Carter;alyssagardner;(r1aSw9kh3;cliente;401
5;d7d412a8-9d47-4659-ac18-bda92533b342;Theresa Smith;charlene24;+k+t0Sxu0n;admin;401
6;c46ccd16-503a-4c40-8b8c-37bcad38e381;Donna Nguyen;destiny95;7UfvP3Bj+R;viewer;401
7;dba9ffba-2015-46d3-a352-9f4ddc7697dd;Tyler Barker;jesuscollins;**yLLOWxo5;admin;401
8;58846fe6-ad57-44ce-b28f-866e94b7eb31;Paul Swanson;whiterebecca;Yo3chDoYh+;gestor_inventario;200
9;91fe3113-f426-4806-bd93-ab4b57116b40;David Anderson;vsmith;sd9W9pSs&J;cliente;401
10;1a02f9b4-f61e-48e1-8da5-f248561bcb0f;Kaylee Livingston;jamesrodriguez;w@3A1*rd6!;viewer;401
11;db654ef3-6ea2-4a1d-9d8c-31b73d16d0f7;Morgan Elliott;myoung;#40*rAsTcf;viewer;401
12;3efb23f5-87f5-49cf-85d3-aa168bce7ef6;Tiffany Smith;chelsea61;*I3()UJi8N;cliente;401
13;d7c9c47f-35b9-44ec-8656-2612192b1b91;Fernando Barrera;yjones;S2Fo0gy_@+;cliente;401
14;8a77e0fe-aff4-49ca-afd0-1b65c5b84d1a;Kenneth James;dgolden;_aH_j0WkX8;gestor_inventario;200
15;863b77fb-526b-4fc9-bbc6-344cffd329cb;Vincent Reynolds;ddavis;ydu2_SSA8(;admin;401
16;73a1322a-881b-4c6b-a55f-f8126bac9cfa;Jason Gonzalez;michael98;5m@0)JMdN8;admin;401
17;692dd474-0c2a-459f-9b20-4d5fdfe7aaf2;Laura Aguilar;robertsantana;ws*CC1QnDi;gestor_inventario;200
18;ad545af6-4f28-46b8-8916-87df6cfbb6bf;Karen Jordan;salazardaniel;A&v0PPDvhS;admin;401
19;6695b7d2-e0b3-4ac6-8ec8-1e6e0395c030;Joshua Lee;dalvarez;l2B(hQYt@Q;gestor_inventario;200
20;0d0d5c87-6f07-4799-bc12-f65f3b862131;Tina Cantrell;zdunlap;!O2XN4Ch7g;gestor_inventario;200
21;8d53a097-ccc1-463d-aae8-9a7bb75128c5;Zachary Rowe;cynthiagraham;%69BUt^#lb;viewer;401
22;c4e8fe72-5801-4946-a8fc-e7e2e48d34a9;Brian Ramirez;sandrasimpson;up)Q7BfAaW;viewer;401
23;91b9ce00-1fb0-4b7f-9fa3-806acf73e7ca;Caroline Stark;uespinoza;s$ZP0PEZsn;admin;401
24;3c3122d1-fa8d-4e12-940d-1c37078bcdee;Lori Carlson;philip10;%ZqQmcJr_4;viewer;401
25;b9668764-f2a7-45bd-9a63-da7f22a744ad;Russell Fitzgerald;howardthomas;(t0QyFIXSi;admin;401
26;a897f398-138d-402e-8875-55b6f7735df7;Jacqueline Robinson;leslie15;n^G2AgDcN(;gestor_inventario;200
27;ad58355f-8f5f-4d63-b6bf-672b8c7a9b17;Mr. Timothy Garcia;valenzuelaanna;4uGbHSWq%c;gestor_inventario;200
28;f6e5ca89-9eb9-4dfe-9225-5415e4be151b;Amber Goodwin;rjones;1oQUFdCk*#;gestor_inventario;200
29;b4a5021c-f15b-47c7-af20-a5a4fdf39acb;Robert Moore;scott20;o#4L7Og#1q;admin;401
30;7ebf24bb-0ef8-4eb3-a2be-6aeafb2550a2;Alexis Barr;gdrake;m^6FMnzEzM;admin;401
31;9fa1583b-be1c-4fbd-b87a-d4ccb4948a31;Jonathan Smith;garygonzalez;*hRTPezlR6;cliente;401
32;d7555b5e-1a5a-45ce-bff7-d9b1c3f77570;Roberto Ray;matthewanderson;)M*PKjf3$4;cliente;401
33;0f8039e6-5206-469c-960a-4d4b4427a564;Robert Davis;hsanchez;&3IOdFRgF8;admin;401
34;a2dc681b-9707-4a62-9af6-c46cfd57c275;Raymond Cooper;josephwilliams;#V3M)AhuDR;cliente;401
35;8fe87778-5551-4508-9877-57d596bb6405;Daniel Fitzpatrick;kromero;_FPlwl*H!8;viewer;401
36;73f6afc5-2829-49a3-9ab8-f22ab32fd04b;Lisa Buckley;bking;#8zVE4xzGE;cliente;401
37;655240e1-6c9b-4e5a-aedc-38be8dcdbe7b;Tina Davidson;nicholas83;C%5Wo0yk#i;admin;401
38;60fce68a-3a31-410f-9627-6b620e52728f;Alexis Matthews;maria40;%6K8rJH+WO;gestor_inventario;200
39;fd2b3a57-1a25-46e7-a1dc-e9f3d0442519;Jennifer Bryant;sanchezmichelle;3Hy2OxKx#4;gestor_inventario;200
40;0041fa20-74a8-4159-bdcd-2e36cf1c575a;Roy Wilson;cartervanessa;R8t5#KGK^a;viewer;401
41;ef8a6783-1cbc-4ad3-8f40-2271ad813970;Matthew Macdonald;scott83;%+XblyML5t;gestor_inventario;200
42;b2b1bf53-21fa-44e7-9a46-e89b0ce5a33a;Mackenzie Tran;mgonzales;5tIs5Exp^+;viewer;401
43;8b42aa3f-03f0-4a3b-b361-6b96903a04d3;Vincent Fields;trevormartinez;Vc4Cl%qL$D;admin;401
44;25b9d084-e43b-443a-bb65-72cfb48e07a1;Justin Myers;glennmoon;W&7DC5fN%k;admin;401
45;5f20808b-a224-4886-b730-f43e8cf64573;John Skinner;bairdlisa;f+K1$gJa8o;cliente;401
46;dd999e51-3692-49d7-9133-3d99c67b2789;Dawn Rogers;matthewsrobert;h5Q%CGaN!5;cliente;401
47;d90a08cb-861d-4edf-a4ea-bf93b2f6e1f6;Joshua Clark;christopherdavis;)fGs0aHh#j;admin;401
48;fb105297-02a7-446e-a4fe-3ef5e2e3f5c9;Sarah Kennedy;jennifer54;^_J4#Gjc41;admin;401
